Package                       Version
----------------------------- -------------------
actionlib                     1.12.1
addict                        2.4.0
alabaster                     0.7.8
angles                        1.9.12
anyio                         3.6.2
argon2-cffi                   21.3.0
argon2-cffi-bindings          21.2.0
asn1crypto                    0.24.0
async-generator               1.10
attrs                         22.2.0
Babel                         2.11.0
backcall                      0.2.0
base_local_planner            1.16.7
bleach                        4.1.0
bondpy                        1.8.5
Brlapi                        0.6.6
camera_calibration            1.15.2
camera_calibration_parsers    1.11.13
camera_info_manager_py        0.2.3
catkin                        0.7.29
catkin-pkg                    0.5.2
catkin-pkg-modules            0.5.2
certifi                       2018.1.18
cffi                          1.15.1
chardet                       3.0.4
click                         6.7
colorama                      0.3.7
command-not-found             0.3
contextvars                   2.4
controller_manager            0.18.4
controller_manager_msgs       0.18.4
cryptography                  2.1.4
cupshelpers                   1.0
cv_bridge                     1.13.1
cycler                        0.11.0
cylinder-fitting              1.1.4
dataclasses                   0.8
dcf-tools                     2.3.2
decorator                     4.4.2
defer                         1.0.6
defusedxml                    0.7.1
deprecation                   2.1.0
diagnostic_analysis           1.9.7
diagnostic_common_diagnostics 1.9.7
diagnostic_updater            1.9.7
dill                          0.3.4
distlib                       0.3.6
distro                        1.8.0
distro-info                   0.18ubuntu0.18.04.1
docopt                        0.6.2
docutils                      0.18.1
dynamic_reconfigure           1.6.5
empy                          3.3.2
entrypoints                   0.4
evdev                         1.6.1
ez-setup                      0.9
feedparser                    5.2.1
filelock                      3.4.1
gazebo_plugins                2.8.7
gazebo_ros                    2.8.7
gencpp                        0.6.6
geneus                        2.2.6
genlisp                       0.4.16
genmsg                        0.5.17
gennodejs                     2.0.1
genpy                         0.6.16
gitsome                       0.7.0
httplib2                      0.9.2
idna                          3.4
image_geometry                1.13.1
imagesize                     0.7.1
immutables                    0.19
import-from-github-com        0.1
importlib-metadata            4.8.3
importlib-resources           5.4.0
imutils                       0.5.4
iniconfig                     1.1.1
interactive-markers           1.11.5
ipykernel                     5.5.6
ipython                       7.16.3
ipython-genutils              0.2.0
ipywidgets                    7.7.3
jedi                          0.17.2
Jinja2                        3.0.3
joblib                        1.1.1
joint_state_publisher         1.12.15
joint_state_publisher_gui     1.12.15
json5                         0.9.11
jsonschema                    4.0.0
jupyter-client                7.1.2
jupyter-core                  4.9.2
jupyter-packaging             0.10.6
jupyter-server                1.13.1
jupyterlab                    3.2.9
jupyterlab-pygments           0.1.2
jupyterlab-server             2.10.3
jupyterlab-widgets            1.1.2
kdl-parser-py                 1.13.3
keyboard                      0.13.5
keyring                       10.6.0
keyrings.alt                  3.0
kiwisolver                    1.3.1
language-selector             0.1
laser_geometry                1.6.7
laspy                         2.1.2
launchpadlib                  1.10.6
lazr.restfulclient            0.13.5
lazr.uri                      1.0.3
libLAS                        1.8.1
louis                         3.5.0
macaroonbakery                1.1.3
Mako                          1.0.7
MarkupSafe                    2.0.1
matplotlib                    3.3.4
message_filters               1.14.13
mistune                       0.8.4
moveit_commander              1.0.11
moveit-core                   1.0.11
moveit-python                 0.4.5
moveit_ros_planning_interface 1.0.11
moveit_ros_visualization      1.0.11
nbclassic                     0.3.5
nbclient                      0.5.9
nbconvert                     6.0.7
nbformat                      5.1.3
nest-asyncio                  1.5.6
netifaces                     0.10.4
networkx                      2.5.1
notebook                      6.4.10
numpy                         1.19.5
numpydoc                      0.7.0
oauth                         1.0.1
olefile                       0.45.1
open3d                        0.15.2
opencv-contrib-python         3.4.8.29
opencv-python                 4.7.0.72
packaging                     21.3
pandas                        1.1.5
pandocfilters                 1.5.0
parso                         0.7.1
pbr                           5.11.1
pexpect                       4.8.0
pickleshare                   0.7.5
Pillow                        8.4.0
pip                           21.3.1
platformdirs                  2.4.0
pluggy                        1.0.0
ply                           3.11
plyfile                       0.7.4
prometheus-client             0.16.0
prompt-toolkit                3.0.36
protobuf                      3.0.0
psycopg2                      2.9.8
ptyprocess                    0.7.0
py                            1.11.0
pycairo                       1.16.2
pycparser                     2.21
pycrypto                      2.6.1
pycups                        1.9.73
pygdal                        2.2.3.3
Pygments                      2.14.0
PyGObject                     3.26.1
pymacaroons                   0.13.0
PyNaCl                        1.1.2
pynput                        1.7.6
pyoints                       0.2.0a3
pyOpenSSL                     17.5.0
pyparsing                     3.0.9
pyproj                        3.0.1
pyquaternion                  0.9.9
pyrealsense2                  2.53.1.4623
pyRFC3339                     1.0
pyrsistent                    0.18.0
pytest                        7.0.1
python-apt                    1.6.6
python-dateutil               2.8.2
python-debian                 0.1.32
python_qt_binding             0.4.4
python-xlib                   0.33
pytz                          2022.7.1
pyxdg                         0.25
PyYAML                        6.0
pyzmq                         25.0.0
qt-dotgraph                   0.4.2
qt-gui                        0.4.2
qt-gui-cpp                    0.4.2
qt-gui-py-common              0.4.2
reportlab                     3.4.0
requests                      2.18.4
requests-unixsocket           0.1.5
resource_retriever            1.12.7
roman                         2.0.0
ros_numpy                     0.0.3
rosbag                        1.14.13
rosboost-cfg                  1.14.9
rosclean                      1.14.9
roscreate                     1.14.9
rosdep                        0.22.2
rosdep-modules                0.22.2
rosdistro-modules             0.9.0
rosgraph                      1.14.13
roslaunch                     1.14.13
roslib                        1.14.9
roslint                       0.11.2
roslz4                        1.14.13
rosmake                       1.14.9
rosmaster                     1.14.13
rosmsg                        1.14.13
rosnode                       1.14.13
rosparam                      1.14.13
rospkg                        1.4.0
rospkg-modules                1.4.0
rospy                         1.14.13
rosservice                    1.14.13
rostest                       1.14.13
rostopic                      1.14.13
rosunit                       1.14.9
roswtf                        1.14.13
rqt_action                    0.4.9
rqt_bag                       0.5.1
rqt_bag_plugins               0.5.1
rqt_console                   0.4.9
rqt_dep                       0.4.9
rqt_graph                     0.4.11
rqt_gui                       0.5.3
rqt_gui_py                    0.5.3
rqt_image_view                0.4.16
rqt_launch                    0.4.8
rqt_logger_level              0.4.8
rqt-moveit                    0.5.10
rqt_msg                       0.4.8
rqt_nav_view                  0.5.7
rqt_plot                      0.4.13
rqt_pose_view                 0.5.8
rqt_publisher                 0.4.8
rqt_py_common                 0.5.3
rqt_py_console                0.4.8
rqt-reconfigure               0.5.4
rqt_robot_dashboard           0.5.7
rqt-robot-monitor             0.5.14
rqt_robot_steering            0.5.10
rqt_runtime_monitor           0.5.7
rqt-rviz                      0.7.0
rqt_service_caller            0.4.8
rqt_shell                     0.4.9
rqt_srv                       0.4.8
rqt_tf_tree                   0.6.0
rqt_top                       0.4.8
rqt_topic                     0.4.11
rqt_web                       0.4.8
rtabmap-ros                   0.20.23
Rtree                         0.9.7
rviz                          1.13.29
scikit-build                  0.16.7
scikit-learn                  0.24.2
SecretStorage                 2.3.1
Send2Trash                    1.8.0
sensor-msgs                   1.12.8
setproctitle                  1.1.10
setuptools                    59.6.0
simplejson                    3.13.2
six                           1.16.0
sklearn                       0.0.post2
smach                         2.0.1
smach_ros                     2.0.1
smclib                        1.8.5
sniffio                       1.2.0
Sphinx                        1.6.7
srdfdom                       0.5.2
ssh-import-id                 5.7
sshuttle                      0.78.3
stevedore                     3.5.2
system-service                0.3
systemd-python                234
terminado                     0.13.0
testpath                      0.6.0
tf                            1.12.1
tf_conversions                1.12.1
tf2_geometry_msgs             0.6.5
tf2_kdl                       0.6.5
tf2_py                        0.6.5
tf2_ros                       0.6.5
tf2_sensor_msgs               0.6.5
threadpoolctl                 3.1.0
tomli                         1.2.3
tomlkit                       0.11.6
topic_tools                   1.14.13
tornado                       6.1
tqdm                          4.64.1
traitlets                     4.3.3
transforms3d                  0.4.1
typing_extensions             4.1.1
ubuntu-advantage-tools        8001
ubuntu-drivers-common         0.0.0
ufw                           0.36
unattended-upgrades           0.1
urdfdom-py                    0.4.6
urllib3                       1.22
usb-creator                   0.3.3
virtualenv                    20.17.1
virtualenv-clone              0.5.7
virtualenvwrapper             4.8.4
wadllib                       1.3.2
wcwidth                       0.2.6
webencodings                  0.5.1
websocket-client              1.3.1
wheel                         0.37.1
widgetsnbextension            3.6.2
xacro                         1.13.18
xkit                          0.0.0
xonsh                         0.6.0
zipp                          3.6.0
zope.interface                4.3.2
Could not fetch URL https://pypi.org/simple/pip/: There was a problem confirming the ssl certificate: HTTPSConnectionPool(host='pypi.org', port=443): Max retries exceeded with url: /simple/pip/ (Caused by SSLError(SSLError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:852)'),)) - skipping
